        x1         x2         x3         x4         y1         y2         y3         y4
    147.00     230.00     261.52     190.00     152.00     194.00     269.65     242.00
    230.00     296.00     318.00     261.52     194.00     211.00     277.95     269.65
    296.00     357.00     368.30     318.00     211.00     213.00     275.22     277.95
    357.00     414.00     417.70     368.30     213.00     210.00     270.20     275.22
    414.00     475.00     470.47     417.70     210.00     204.00     263.55     270.20
    475.00     550.00     532.85     470.47     204.00     189.00     251.10     263.55
    550.00     622.00     594.77     532.85     189.00     159.00     227.40     251.10
    622.00     690.00     654.80     594.77     159.00     129.00     204.20     227.40
    190.00     261.52     276.12     211.00     242.00     269.65     326.20     310.00
    261.52     318.00     328.15     276.12     269.65     277.95     328.70     326.20
    318.00     368.30     372.83     328.15     277.95     275.22     324.15     328.70
    368.30     417.70     419.70     372.83     275.22     270.20     320.00     324.15
    417.70     470.47     469.33     419.70     270.20     263.55     315.60     320.00
    470.47     532.85     524.15     469.33     263.55     251.10     308.60     315.60
    532.85     594.77     581.08     524.15     251.10     227.40     294.10     308.60
    594.77     654.80     638.20     581.08     227.40     204.20     280.60     294.10
    211.00     276.12     275.67     213.00     310.00     326.20     375.35     370.00
    276.12     328.15     327.20     275.67     326.20     328.70     372.65     375.35
    328.15     372.83     370.20     327.20     328.70     324.15     366.88     372.65
    372.83     419.70     418.50     370.20     324.15     320.00     364.20     366.88
    419.70     469.33     468.92     418.50     320.00     315.60     362.65     364.20
    469.33     524.15     520.15     468.92     315.60     308.60     361.70     362.65
    524.15     581.08     576.02     520.15     308.60     294.10     357.00     361.70
    581.08     638.20     634.20     576.02     294.10     280.60     353.80     357.00
    213.00     275.67     258.30     194.00     370.00     375.35     415.83     421.00
    275.67     327.20     313.40     258.30     375.35     372.65     408.25     415.83
    327.20     370.20     358.80     313.40     372.65     366.88     401.58     408.25
    370.20     418.50     412.60     358.80     366.88     364.20     400.70     401.58
    418.50     468.92     467.90     412.60     364.20     362.65     402.32     400.70
    468.92     520.15     519.60     467.90     362.65     361.70     407.75     402.32
    520.15     576.02     578.50     519.60     361.70     357.00     413.18     407.75
    576.02     634.20     641.80     578.50     357.00     353.80     420.60     413.18
    194.00     258.30     219.25     148.00     421.00     415.83     464.88     483.00
    258.30     313.40     283.25     219.25     415.83     408.25     450.00     464.88
    313.40     358.80     336.38     283.25     408.25     401.58     440.00     450.00
    358.80     412.60     401.00     336.38     401.58     400.70     438.50     440.00
    412.60     467.90     466.50     401.00     400.70     402.32     440.88     438.50
    467.90     519.60     524.00     466.50     402.32     407.75     450.25     440.88
    519.60     578.50     591.25     524.00     407.75     413.18     463.38     450.25
    578.50     641.80     665.00     591.25     413.18     420.60     479.00     463.38
