Perguntas,Date
 Quem é o maior pontuador do Flamengo?,17-May-2021 15:38
Compare o David Jackson com o Hettsheimeir,22-Apr-2021 14:33
Compare o David Jackson com o Hettsheimeir,22-Apr-2021 17:00
Compare o David Jackson com o Hettsheimeir,23-Apr-2021 06:15
Compare o David Jackson com o Hettsheimeir,26-Apr-2021 09:45
Compare o David Jackson com o Hettsheimeir,26-Apr-2021 10:53
Compare o David Jackson com o Hettsheimeir,26-Apr-2021 11:01
Compare o David Jackson com o Hettsheimeir,26-Apr-2021 12:34
Compare o David Jackson com o Hettsheimeir,26-Apr-2021 12:42
Compare o David Jackson com o Hettsheimeir,26-Apr-2021 12:50
Compare o David Jackson com o Hettsheimeir,26-Apr-2021 13:02
Compare o David Jackson com o Hettsheimeir,26-Apr-2021 13:48
Compare o David Jackson com o Hettsheimeir,26-Apr-2021 13:55
Compare o David Jackson com o Hettsheimeir,26-Apr-2021 13:59
Compare o David Jackson com o Hettsheimeir,27-Apr-2021 07:04
Compare o David Jackson com o Hettsheimeir,27-Apr-2021 12:12
Compare o David Jackson com o Hettsheimeir,27-Apr-2021 12:16
Compare o David Jackson com o Hettsheimeir,27-Apr-2021 12:20
Compare o David Jackson com o Hettsheimeir,27-Apr-2021 12:41
Compare o David Jackson com o Hettsheimeir,27-Apr-2021 12:47
Compare o David Jackson com o Hettsheimeir,27-Apr-2021 14:00
Compare o David Jackson com o Hettsheimeir,27-Apr-2021 14:04
Compare o David Jackson com o Hettsheimeir,27-Apr-2021 14:12
Compare o David Jackson com o Hettsheimeir,27-Apr-2021 14:17
Compare o David Jackson com o Hettsheimeir,27-Apr-2021 14:37
Compare o David Jackson com o Hettsheimeir,27-Apr-2021 19:13
Compare o David Jackson com o Hettsheimeir,28-Apr-2021 09:01
Compare o David Jackson com o Hettsheimeir,28-Apr-2021 09:13
Compare o David Jackson com o Hettsheimeir,28-Apr-2021 09:16
Compare o David Jackson com o Hettsheimeir,28-Apr-2021 09:26
Compare o David Jackson com o Hettsheimeir,28-Apr-2021 09:35
Compare o David Jackson com o Hettsheimeir,28-Apr-2021 13:31
Compare o David Jackson com o Hettsheimeir,28-Apr-2021 13:41
Compare o David Jackson com o Hettsheimeir,28-Apr-2021 14:24
Compare o David Jackson com o Hettsheimeir,28-Apr-2021 14:28
Compare o David Jackson com o Hettsheimeir,28-Apr-2021 14:40
Compare o David Jackson com o Hettsheimeir,28-Apr-2021 14:50
Compare o David Jackson com o Hettsheimeir,28-Apr-2021 21:44
Compare o David Jackson com o Hettsheimeir,03-May-2021 14:36
Compare o David Jackson com o Hettsheimeir,15-May-2021 12:31
Compare o David Jackson com o Hettsheimeir,17-May-2021 13:50
Compare o David Jackson com o Hettsheimeir,17-May-2021 14:27
Compare o David Jackson com o Hettsheimeir e olivinha,22-Apr-2021 17:02
Compare o David Jackson com o Hettsheimeir e olivinha,27-Apr-2021 12:30
Compare o David Jackson com o Hettsheimeir e olivinha,27-Apr-2021 13:57
Compare o David Jackson com o Hettsheimeir e olivinha,28-Apr-2021 14:32
Compare o melhor jogador do Flamengo com o Balbi,21-Apr-2021 07:09
Compare o melhor jogador do Flamengo com o Balbi,21-Apr-2021 07:50
Compare o melhor jogador do Flamengo com o Balbi,21-Apr-2021 14:39
Compare o melhor jogador do Flamengo com o Balbi,21-Apr-2021 14:53
Compare o melhor jogador do Flamengo com o Balbi,21-Apr-2021 15:51
Compare o melhor jogador do Flamengo com o Balbi,26-Apr-2021 15:27
Compare o melhor jogador do Flamengo com o Balbi,28-Apr-2021 18:21
Compare o melhor jogador do Flamengo com o Elinho,17-May-2021 13:52
Compare por minuto David Jackson com o Hettsheimeir e olivinha,22-Apr-2021 17:05
Compare por minuto David Jackson com o Hettsheimeir e olivinha,27-Apr-2021 15:28
Em que time o Olivinha tá jogando?,17-May-2021 15:40
Qual a posição do Olivinha?,17-May-2021 12:52
Qual a posição do Olivinha?,17-May-2021 15:41
Qual a temporada o marquinhos pontou mais?,17-May-2021 12:57
Qual e melhor jogador de 3 pontos do Flamengo,26-Apr-2021 15:30
Qual e melhor jogador de 3 pontos do Flamengo,27-Apr-2021 14:17
