         x          y
0.40000000 0.00000000
0.39877738 0.03125000
0.39508698 0.06250000
0.38885848 0.09375000
0.37996705 0.12500000
0.37500000 0.13919397
0.36821993 0.15625000
0.35333231 0.18750000
0.34375000 0.20453825
0.33488564 0.21875000
0.31250000 0.24968722
0.31224983 0.25000000
0.28442643 0.28125000
0.28125000 0.28442645
0.25000000 0.31224986
0.24968727 0.31250000
0.21875000 0.33488565
0.20453827 0.34375000
0.18750000 0.35333234
0.15625000 0.36821990
0.13919396 0.37500000
0.12500000 0.37996706
0.09375000 0.38885848
0.06250000 0.39508701
0.03125000 0.39877741
0.00000000 0.39999996
-0.03125000 0.39877738
-0.06250000 0.39508696
-0.09375000 0.38885845
-0.12500000 0.37996707
-0.13919405 0.37500000
-0.15625000 0.36821994
-0.18750000 0.35333229
-0.20453828 0.34375000
-0.21875000 0.33488567
-0.24968722 0.31250000
-0.25000000 0.31224984
-0.28125000 0.28442645
-0.28442650 0.28125000
-0.31224988 0.25000000
-0.31250000 0.24968726
-0.33488570 0.21875000
-0.34375000 0.20453834
-0.35333230 0.18750000
-0.36821990 0.15625000
-0.37500000 0.13919403
-0.37996709 0.12500000
-0.38885845 0.09375000
-0.39508697 0.06250000
-0.39877740 0.03125000
-0.39999995 0.00000000
-0.39877740 -0.03125000
-0.39508697 -0.06250000
-0.38885845 -0.09375000
-0.37996709 -0.12500000
-0.37500000 -0.13919403
-0.36821990 -0.15625000
-0.35333230 -0.18750000
-0.34375000 -0.20453834
-0.33488570 -0.21875000
-0.31250000 -0.24968726
-0.31224988 -0.25000000
-0.28442650 -0.28125000
-0.28125000 -0.28442645
-0.25000000 -0.31224984
-0.24968722 -0.31250000
-0.21875000 -0.33488567
-0.20453828 -0.34375000
-0.18750000 -0.35333229
-0.15625000 -0.36821994
-0.13919405 -0.37500000
-0.12500000 -0.37996707
-0.09375000 -0.38885845
-0.06250000 -0.39508696
-0.03125000 -0.39877738
0.00000000 -0.39999996
0.03125000 -0.39877741
0.06250000 -0.39508701
0.09375000 -0.38885848
0.12500000 -0.37996706
0.13919396 -0.37500000
0.15625000 -0.36821990
0.18750000 -0.35333234
0.20453827 -0.34375000
0.21875000 -0.33488565
0.24968727 -0.31250000
0.25000000 -0.31224986
0.28125000 -0.28442645
0.28442643 -0.28125000
0.31224983 -0.25000000
0.31250000 -0.24968722
0.33488564 -0.21875000
0.34375000 -0.20453825
0.35333231 -0.18750000
0.36821993 -0.15625000
0.37500000 -0.13919397
0.37996705 -0.12500000
0.38885848 -0.09375000
0.39508698 -0.06250000
0.39877738 -0.03125000
